user_id,sng_id,org_to_rec
00877d231a1d10859eefd4288ecc493fd1ea3589,3599714,False
00877d231a1d10859eefd4288ecc493fd1ea3589,16571662,True
00877d231a1d10859eefd4288ecc493fd1ea3589,13789085,True
00877d231a1d10859eefd4288ecc493fd1ea3589,60842359,False
00877d231a1d10859eefd4288ecc493fd1ea3589,68437773,False
00877d231a1d10859eefd4288ecc493fd1ea3589,14233403,False
00877d231a1d10859eefd4288ecc493fd1ea3589,3578291,False
00877d231a1d10859eefd4288ecc493fd1ea3589,95938334,False
00877d231a1d10859eefd4288ecc493fd1ea3589,110908332,False
00877d231a1d10859eefd4288ecc493fd1ea3589,67354825,False
00877d231a1d10859eefd4288ecc493fd1ea3589,70697364,False
00877d231a1d10859eefd4288ecc493fd1ea3589,102035745,True
00877d231a1d10859eefd4288ecc493fd1ea3589,65672691,False
00877d231a1d10859eefd4288ecc493fd1ea3589,6062237,False
00877d231a1d10859eefd4288ecc493fd1ea3589,7337274,False
00877d231a1d10859eefd4288ecc493fd1ea3589,867061,True
00877d231a1d10859eefd4288ecc493fd1ea3589,120949962,False
00877d231a1d10859eefd4288ecc493fd1ea3589,99231240,False
00877d231a1d10859eefd4288ecc493fd1ea3589,80460342,False
00877d231a1d10859eefd4288ecc493fd1ea3589,1277771,False
00877d231a1d10859eefd4288ecc493fd1ea3589,78129603,False
00877d231a1d10859eefd4288ecc493fd1ea3589,2307182,True
00877d231a1d10859eefd4288ecc493fd1ea3589,636222,False
00877d231a1d10859eefd4288ecc493fd1ea3589,109703514,False
00877d231a1d10859eefd4288ecc493fd1ea3589,67238738,False
00877d231a1d10859eefd4288ecc493fd1ea3589,66465549,False
00877d231a1d10859eefd4288ecc493fd1ea3589,3156453,False
00877d231a1d10859eefd4288ecc493fd1ea3589,118190298,False
00877d231a1d10859eefd4288ecc493fd1ea3589,68593018,False
00877d231a1d10859eefd4288ecc493fd1ea3589,7667061,True
00877d231a1d10859eefd4288ecc493fd1ea3589,64010481,False
00877d231a1d10859eefd4288ecc493fd1ea3589,6491912,False
