user_id,sng_id,adopted
00877d231a1d10859eefd4288ecc493fd1ea3589,857985,True
00877d231a1d10859eefd4288ecc493fd1ea3589,106152016,True
00877d231a1d10859eefd4288ecc493fd1ea3589,2232655,True
00877d231a1d10859eefd4288ecc493fd1ea3589,757085,True
00877d231a1d10859eefd4288ecc493fd1ea3589,7045661,True
00877d231a1d10859eefd4288ecc493fd1ea3589,3157624,True
00877d231a1d10859eefd4288ecc493fd1ea3589,60946207,True
00877d231a1d10859eefd4288ecc493fd1ea3589,3156453,True
00877d231a1d10859eefd4288ecc493fd1ea3589,70697364,True
00877d231a1d10859eefd4288ecc493fd1ea3589,7379246,True
00877d231a1d10859eefd4288ecc493fd1ea3589,122440564,True
00877d231a1d10859eefd4288ecc493fd1ea3589,4120079,True
00877d231a1d10859eefd4288ecc493fd1ea3589,83124206,True
00877d231a1d10859eefd4288ecc493fd1ea3589,1145131,True
00877d231a1d10859eefd4288ecc493fd1ea3589,109788850,True
00877d231a1d10859eefd4288ecc493fd1ea3589,1162527,True
00877d231a1d10859eefd4288ecc493fd1ea3589,85495782,True
00877d231a1d10859eefd4288ecc493fd1ea3589,125089724,True
00877d231a1d10859eefd4288ecc493fd1ea3589,14233403,True
00877d231a1d10859eefd4288ecc493fd1ea3589,126534873,True
00877d231a1d10859eefd4288ecc493fd1ea3589,785176,True
00877d231a1d10859eefd4288ecc493fd1ea3589,4300259,True
00877d231a1d10859eefd4288ecc493fd1ea3589,636222,True
00877d231a1d10859eefd4288ecc493fd1ea3589,61002789,True
00877d231a1d10859eefd4288ecc493fd1ea3589,99231240,True
00877d231a1d10859eefd4288ecc493fd1ea3589,7045617,True
00877d231a1d10859eefd4288ecc493fd1ea3589,120026876,True
00877d231a1d10859eefd4288ecc493fd1ea3589,6817187,True
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,13792835,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3134033,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,109734566,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,107394234,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,7674983,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,118190298,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,69828693,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3787857,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,69002049,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,6621938,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,120925398,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,60200381,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,79967474,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,88936753,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,107744166,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,73707710,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3590185,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3466896,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3098841,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,606659,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,109169062,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,95978792,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3135034,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,10313218,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,107346368,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,88897641,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,61142290,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,106506512,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,67354825,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3616650,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,93183390,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3787858,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3130706,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,7646471,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,13729380,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,60842359,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,76159511,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,62375115,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,535419,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,904732,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,14615940,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,123607620,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,7379244,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,1109731,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,751867,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,73616508,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3616651,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,1579474,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,15321323,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3590186,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,98316894,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,90985157,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,3755947,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,2505668,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,1015329,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,2977603,False
018ca9ed6e4c4a466ff2ac0cccc00b0733e8976e,70266759,False
